"Name","National_Position","Club_Position","Rating","Height","Weight","Age","Work_Rate","Ball_Control","Vision","Goalkeeper","International","IMC"
"Daryl Janmaat",NA,"RWB",77,185,80,27,"High / Medium",76,70,"NO","NO",23.3747260774288
"Lewis Holtby",NA,"CAM",77,176,72,26,"Medium / High",78,75,"NO","NO",23.2438016528926
"Juanfran",NA,"RB",77,179,72,28,"High / Medium",80,63,"NO","NO",22.4712087637714
"Maicon",NA,"Sub",77,183,73,27,"Medium / Medium",67,63,"NO","NO",21.7982023948162
"Wanderson",NA,"Sub",77,180,75,31,"Medium / Medium",82,71,"NO","NO",23.1481481481481
"Mauricio Isla","RB","RB",77,176,75,28,"Medium / Medium",75,68,"NO","YES",24.2122933884298
"Dayro Moreno",NA,"ST",77,177,73,31,"Medium / Low",76,70,"NO","NO",23.301094832264
"Alberto Paloschi",NA,"Sub",77,182,80,27,"Medium / Medium",77,59,"NO","NO",24.1516725033209
"Christian Träsch",NA,"Sub",77,180,75,29,"Medium / High",74,72,"NO","NO",23.1481481481481
"Cheikhou Kouyaté",NA,"LDM",77,193,78,27,"High / High",73,63,"NO","NO",20.9401594673683
"Geoff Cameron","RCB","Sub",77,191,84,31,"Medium / Medium",70,73,"NO","YES",23.025684602944
"Ivan Radovanovic",NA,"CDM",77,187,80,28,"Low / High",75,75,"NO","NO",22.8774057021934
"Sven Ulreich",NA,"Sub",77,192,84,28,"Medium / Medium",22,29,"NO","NO",22.7864583333333
"Leroy Fer",NA,"RCM",77,188,79,27,"Medium / Low",75,73,"NO","NO",22.351742870077
"Kieran Trippier",NA,"Sub",77,178,72,26,"High / High",71,72,"NO","NO",22.7244034844085
"Luca Rossettini",NA,"RCB",77,187,82,31,"Medium / High",54,28,"NO","NO",23.4493408447482
"Benjamin Moukandjo","RM","ST",77,180,74,28,"High / Low",75,65,"NO","YES",22.8395061728395
"Kyriakos Papadopoulos",NA,"RCB",77,185,87,25,"Low / High",54,44,"NO","NO",25.4200146092038
"Facundo Roncaglia","Sub","Sub",77,179,76,30,"Medium / High",69,59,"NO","YES",23.7196092506476
"Nicolai Müller",NA,"RM",77,173,66,29,"High / Medium",77,71,"NO","NO",22.0521901834341
"Nabil El Zhar",NA,"Sub",77,175,66,30,"Medium / Low",79,75,"NO","NO",21.5510204081633
"Yuri",NA,"LB",77,177,77,27,"High / Medium",74,45,"NO","NO",24.5778671518401
"Aurélien Chedjou",NA,"RCB",77,184,86,31,"Medium / Medium",62,63,"NO","NO",25.4017013232514
"Henri Saivet",NA,"CAM",77,175,73,26,"High / High",78,78,"NO","NO",23.8367346938776
"Valentin Stocker","Sub","Sub",77,179,72,27,"Medium / Medium",81,77,"NO","YES",22.4712087637714
"Max Gradel","Sub","Sub",77,175,69,29,"Medium / Medium",78,70,"NO","YES",22.530612244898
"Roberto Rosales",NA,"RB",77,174,70,28,"High / Medium",79,63,"NO","NO",23.1206235962479
"Carlos Sánchez","RDM","RCB",77,182,82,31,"Medium / Medium",75,68,"NO","YES",24.7554643159039
"Jose Holebas",NA,"LWB",77,185,81,32,"Medium / Medium",75,54,"NO","NO",23.6669101533966
"Beto",NA,"Sub",77,182,81,34,"Medium / Medium",18,47,"NO","NO",24.4535684096124
"Antonio Rukavina",NA,"Sub",77,177,74,33,"High / Medium",69,59,"NO","NO",23.6202879121581
"Mapou Yanga-M'Biwa",NA,"Sub",77,184,77,27,"Medium / Medium",68,34,"NO","NO",22.7433837429112
"Makoto Hasebe",NA,"Res",77,180,72,33,"Medium / Medium",74,75,"NO","NO",22.2222222222222
"Marcelo",NA,"RCB",77,191,90,29,"Medium / Medium",65,43,"NO","NO",24.6703763602971
"Charles Kaboré",NA,"CDM",77,182,78,29,"Medium / High",74,69,"NO","NO",23.5478806907378
"Mosquera",NA,"Sub",77,184,77,28,"Medium / Medium",79,76,"NO","NO",22.7433837429112
"Stefano Okaka",NA,"Sub",77,186,90,27,"High / High",75,62,"NO","NO",26.0145681581686
"Kamil Grosicki","LM","LM",77,180,78,28,"Medium / Medium",78,70,"NO","YES",24.0740740740741
"Sebastian Prödl","CB","CB",77,196,97,29,"Medium / Medium",54,46,"NO","YES",25.249895876718
"Jonathan De Guzmán",NA,"Sub",77,175,70,29,"High / Medium",82,75,"NO","NO",22.8571428571429
"Alessandro Matri",NA,"ST",77,183,80,32,"Medium / Low",74,60,"NO","NO",23.8884409806205
"Vadis Odjidja-Ofoe",NA,"CAM",77,183,79,28,"Medium / Medium",77,85,"NO","NO",23.5898354683627
"Felipe Caicedo","LS","Sub",77,183,84,28,"Medium / Medium",77,61,"NO","YES",25.0828630296515
"Fran Rico",NA,"Sub",77,178,68,29,"Medium / Medium",80,72,"NO","NO",21.4619366241636
"Mariano Andújar","Sub","GK",77,194,88,33,"Medium / Medium",20,40,"YES","YES",23.3818684238495
"Nathan Dyer",NA,"Sub",77,167,62,29,"High / High",78,66,"NO","NO",22.2309871275413
"Óscar Trejo",NA,"CAM",77,180,79,28,"Medium / Medium",80,79,"NO","NO",24.3827160493827
"Marco Andreolli",NA,"Sub",77,187,81,30,"Low / Medium",55,28,"NO","NO",23.1633732734708
"Javi Varas",NA,"GK",77,182,74,34,"Medium / Medium",16,32,"YES","NO",22.3402970655718
"Perparim Hetemaj","LM","LCM",77,175,76,30,"High / High",78,77,"NO","YES",24.8163265306122
"Eljero Elia",NA,"LW",77,179,77,30,"Medium / Medium",81,67,"NO","NO",24.0317093723667
"Jonatan Maidana",NA,"RCB",77,185,86,31,"Medium / Medium",61,55,"NO","NO",25.1278305332359
"Caner Erkin","Sub","Sub",77,181,76,28,"High / Medium",78,72,"NO","YES",23.1983150697476
"Fábio Coentrão",NA,"Sub",77,179,71,29,"Medium / Medium",72,69,"NO","NO",22.1591086420524
"Jay Rodriguez",NA,"Sub",77,185,80,27,"High / Medium",75,69,"NO","NO",23.3747260774288
"Lee Cattermole",NA,"Sub",77,178,76,29,"Low / High",73,67,"NO","NO",23.9868703446535
"Darron Gibson",NA,"LDM",77,180,80,29,"Medium / Medium",76,76,"NO","NO",24.6913580246914
"Shane Long","ST","Sub",77,178,70,30,"High / High",77,63,"NO","YES",22.0931700542861
"Rémy Riou",NA,"GK",77,189,81,29,"Medium / Medium",23,39,"YES","NO",22.6757369614512
"Ron Vlaar",NA,"RCB",77,189,88,32,"Medium / High",64,59,"NO","NO",24.6353685507125
"Ari",NA,"Sub",77,180,84,31,"Medium / Medium",80,73,"NO","NO",25.9259259259259
"Bebé",NA,"Sub",77,190,83,26,"Medium / Low",78,66,"NO","NO",22.9916897506925
"Ismael Sosa",NA,"Sub",77,179,74,30,"High / Low",76,73,"NO","NO",23.0954090072095
"Fernando Gago",NA,"CDM",77,178,70,30,"Medium / Medium",77,81,"NO","NO",22.0931700542861
"Itumeleng Khune","GK","GK",77,181,81,29,"Medium / Medium",32,60,"YES","YES",24.7245200085467
"Eugen Polański",NA,"Sub",77,183,78,31,"Medium / Medium",74,69,"NO","NO",23.291229956105
"Cyril Théréau",NA,"LW",77,189,78,33,"High / High",81,79,"NO","NO",21.8358948517679
"Charles",NA,"Sub",77,177,75,32,"High / High",85,55,"NO","NO",23.9394809920521
"Sergio",NA,"GK",77,179,75,30,"Medium / Medium",21,38,"YES","NO",23.4075091289286
"Curtis Davies",NA,"Sub",77,188,89,32,"Medium / Medium",65,56,"NO","NO",25.181077410593
"Younès Kaboul",NA,"RCB",77,191,87,31,"High / Medium",61,51,"NO","NO",23.8480304816206
"Andrea Raggi",NA,"Sub",77,187,82,32,"Medium / Medium",70,54,"NO","NO",23.4493408447482
"Glenn Whelan","RDM","RDM",77,180,80,33,"Medium / High",73,66,"NO","YES",24.6913580246914
"Guillaume Gillet",NA,"RDM",77,186,79,33,"High / High",76,71,"NO","NO",22.8350098277257
"Johan Djourou","RCB","Res",76,191,87,30,"Medium / Medium",64,46,"NO","YES",23.8480304816206
"Mauro Boselli",NA,"ST",77,185,75,31,"High / Low",76,65,"NO","NO",21.9138056975895
"Valon Behrami","RDM","CM",77,185,78,31,"Medium / High",74,73,"NO","YES",22.7903579254931
"Agirretxe",NA,"Sub",77,187,77,30,"Medium / Medium",77,63,"NO","NO",22.0195029883611
"Jérémy Ménez",NA,"LW",77,181,78,29,"Medium / Low",86,73,"NO","NO",23.8087970452672
"Gökhan İnler",NA,"Sub",77,183,80,32,"Medium / Medium",77,73,"NO","NO",23.8884409806205
"Alexandre Song",NA,"RDM",77,185,74,29,"Medium / Medium",76,69,"NO","NO",21.6216216216216
"Alfredo Talavera","Sub","GK",77,188,82,34,"Medium / Medium",21,43,"YES","YES",23.2005432322318
"Justo Villar","Sub","GK",77,180,85,39,"Medium / Medium",24,51,"YES","YES",26.2345679012346
"Robert Snodgrass","RM","Sub",77,182,77,29,"High / Medium",79,79,"NO","YES",23.2459847844463
"Yuriy Zhirkov","Sub","Sub",77,180,75,33,"High / Medium",79,72,"NO","YES",23.1481481481481
"Mauro Zárate",NA,"RS",77,176,76,30,"Medium / Low",87,63,"NO","NO",24.5351239669421
"Steven Davis","RCM","LCM",77,173,72,32,"High / High",77,75,"NO","YES",24.0569347455645
"Francesco Magnanelli",NA,"Sub",77,181,79,32,"Medium / High",74,70,"NO","NO",24.1140380330271
"Paul Verhaegh",NA,"RB",77,178,74,33,"Medium / Medium",71,60,"NO","NO",23.355636914531
"Zydrunas Karcemarskas",NA,"GK",77,189,83,33,"Medium / Medium",18,13,"YES","NO",23.2356317012402
"Alexey Berezutskiy",NA,"Sub",77,190,87,34,"Low / Medium",47,55,"NO","NO",24.0997229916898
"Iván Ramis",NA,"RCB",77,188,82,32,"Medium / High",65,50,"NO","NO",23.2005432322318
"David García",NA,"Sub",77,184,82,35,"Medium / Medium",69,39,"NO","NO",24.2202268431002
"Volkan Demirel",NA,"GK",77,191,90,35,"Medium / Medium",28,50,"YES","NO",24.6703763602971
"Matías Delgado",NA,"CAM",77,182,79,34,"Medium / Medium",81,83,"NO","NO",23.8497765970293
"Agustín Orión",NA,"GK",77,187,85,35,"Medium / Medium",20,42,"YES","NO",24.3072435585805
"Leon Britton",NA,"Sub",77,167,65,34,"Low / Medium",81,82,"NO","NO",23.3066800530675
"Christian Fuchs",NA,"LB",77,186,80,30,"Medium / Medium",75,73,"NO","NO",23.1240605850387
"Nicolás Burdisso",NA,"CB",77,182,81,35,"Medium / High",52,38,"NO","NO",24.4535684096124
"Esteban Cambiasso",NA,"LCM",77,177,78,36,"High / High",80,71,"NO","NO",24.8970602317342
"Glen Johnson",NA,"RB",77,182,70,32,"High / Low",76,68,"NO","NO",21.1327134404057
"Stefan Kießling",NA,"Sub",77,191,80,33,"High / High",70,72,"NO","NO",21.9292234313752
"Wes Morgan",NA,"RCB",77,185,93,33,"Medium / Medium",62,49,"NO","NO",27.173119065011
"Jimmy Briand",NA,"ST",77,183,80,31,"High / Medium",73,80,"NO","NO",23.8884409806205
"Michael Dawson",NA,"Sub",77,188,76,33,"Medium / High",58,43,"NO","NO",21.5029425079221
"Iraizoz",NA,"Sub",77,191,89,36,"Medium / Medium",15,53,"NO","NO",24.396261067405
"Jaime Valdés",NA,"LCM",77,175,74,36,"High / Medium",82,80,"NO","NO",24.1632653061224
"Jelle Van Damme",NA,"RCB",77,191,90,33,"High / High",67,67,"NO","NO",24.6703763602971
"Emmanuel Adebayor",NA,"ST",77,191,82,33,"Medium / Low",74,75,"NO","NO",22.4774540171596
"Tranquillo Barnetta",NA,"LF",77,178,70,31,"Medium / Medium",79,77,"NO","NO",22.0931700542861
"Silvio Proto",NA,"Sub",77,186,77,33,"Medium / Medium",32,51,"NO","NO",22.2569083130998
"Daniele Bonera",NA,"Sub",77,183,74,35,"Low / High",51,41,"NO","NO",22.096807907074
"Rémy Vercoutre",NA,"GK",77,185,78,36,"Medium / Medium",21,31,"YES","NO",22.7903579254931
"Morgan De Sanctis",NA,"Sub",77,190,82,40,"Medium / Medium",22,35,"NO","NO",22.7146814404432
"Eliseu","Sub","LB",77,175,75,33,"Medium / Medium",74,59,"NO","YES",24.4897959183673
"Roman Weidenfeller",NA,"Sub",77,190,87,36,"Medium / Medium",19,32,"NO","NO",24.0997229916898
"Emre Belözoğlu",NA,"LDM",77,170,72,36,"Medium / Medium",77,80,"NO","NO",24.9134948096886
"Marko Rog",NA,"Sub",76,180,73,21,"High / Medium",78,78,"NO","NO",22.5308641975309
"Issa Diop",NA,"RCB",76,194,92,20,"Medium / Medium",60,40,"NO","NO",24.4446806249336
"Amadou Diawara",NA,"CM",76,184,74,19,"Medium / High",80,76,"NO","NO",21.8572778827977
"Ronaldo Cabrais",NA,"RAM",76,177,75,25,"Medium / Low",72,77,"NO","NO",23.9394809920521
"David Seijalbo",NA,"RDM",76,176,76,33,"Medium / High",70,52,"NO","NO",24.5351239669421
"Vieirundinho",NA,"RCB",76,189,84,29,"Medium / Medium",64,32,"NO","NO",23.5155790711346
"Welington Dano",NA,"LB",76,178,69,29,"Medium / Medium",72,71,"NO","NO",21.7775533392248
"Nelsildo Reis",NA,"GK",76,190,88,29,"Medium / Medium",23,64,"YES","NO",24.3767313019391
"Fred Aníbão",NA,"GK",76,192,90,25,"Medium / Medium",21,71,"YES","NO",24.4140625
"Gabri Prestão",NA,"GK",76,186,80,25,"Medium / Medium",20,60,"YES","NO",23.1240605850387
"Rosberto Dourado",NA,"RDM",76,175,70,29,"High / Medium",71,77,"NO","NO",22.8571428571429
"Everton Andrão",NA,"RDM",76,177,75,33,"High / High",77,73,"NO","NO",23.9394809920521
"Eltildo Correia",NA,"RCB",76,188,78,25,"Medium / Medium",55,44,"NO","NO",22.0688094160254
"Juiano Mestres",NA,"RCB",76,181,82,33,"High / Medium",64,50,"NO","NO",25.0297609963066
"Antônio Chiamuloira",NA,"LCB",76,182,79,29,"Medium / Medium",52,47,"NO","NO",23.8497765970293
"Leon Bailey",NA,"Sub",76,181,70,19,"High / Medium",78,68,"NO","NO",21.3668691431885
"Marko Pjaca",NA,"Sub",76,186,85,21,"Medium / Medium",87,68,"NO","NO",24.5693143716036
"Palhinha",NA,"Sub",76,190,82,21,"Medium / Medium",72,56,"NO","NO",22.7146814404432
"Bart Ramselaar",NA,"LW",76,178,73,20,"High / Medium",76,69,"NO","NO",23.0400201994698
"Moussa Marega",NA,"RW",76,186,83,25,"High / High",59,65,"NO","NO",23.9912128569777
"Daniel Podence",NA,"Sub",76,164,62,21,"High / Medium",79,72,"NO","NO",23.051754907793
"André Onana",NA,"GK",76,190,82,20,"Medium / Medium",23,60,"YES","NO",22.7146814404432
"Aritz Elustondo",NA,"Sub",76,182,72,23,"Medium / Medium",71,32,"NO","NO",21.7365052529888
"Kelechi Iheanacho",NA,"Sub",76,187,77,20,"High / Medium",76,65,"NO","NO",22.0195029883611
"Ivan Ordets",NA,"Sub",76,194,88,24,"Medium / Medium",63,34,"NO","NO",23.3818684238495
"Diogo Jota",NA,"Sub",76,178,70,20,"High / Medium",79,73,"NO","NO",22.0931700542861
"Gonçalo Guedes",NA,"Sub",76,179,68,20,"High / Medium",76,71,"NO","NO",21.2228082768952
"Danilo",NA,"Sub",76,183,74,21,"Medium / Medium",77,75,"NO","NO",22.096807907074
"Ozan Tufan",NA,"Sub",76,179,70,22,"Medium / Medium",76,70,"NO","NO",21.8470085203333
"Aytaç Sulu",NA,"LCB",76,183,80,31,"Medium / High",65,31,"NO","NO",23.8884409806205
"Ahmet Çalık","Sub","Sub",76,184,77,23,"Medium / High",64,48,"NO","YES",22.7433837429112
"Breel Embolo","CAM","Sub",76,185,84,20,"High / Medium",82,69,"NO","YES",24.5434623813002
"Nikola Vukcević",NA,"Sub",76,184,76,25,"Medium / High",74,67,"NO","NO",22.4480151228733
"Erick Gutiérrez",NA,"LCM",76,176,70,21,"High / Medium",77,76,"NO","NO",22.5981404958678
"Lucas Hernández",NA,"Sub",76,183,75,21,"Medium / High",65,33,"NO","NO",22.3954134193317
"Andrija Živković",NA,"LM",76,170,66,20,"Medium / Medium",77,70,"NO","NO",22.8373702422145
"Óscar Romero","Sub","Sub",76,176,73,24,"Medium / Low",78,75,"NO","YES",23.566632231405
"Enner Valencia","RS","Sub",76,174,74,27,"High / Medium",72,62,"NO","YES",24.441802087462
"Sebastián Cristóforo",NA,"Sub",76,173,70,23,"Medium / Medium",69,70,"NO","NO",23.3886865581877
"Diego Carlos",NA,"LCB",76,185,79,24,"Medium / High",66,38,"NO","NO",23.0825420014609
"José Luis Gómez",NA,"RB",76,173,63,23,"High / Medium",71,54,"NO","NO",21.0498179023689
"Camarasa",NA,"CAM",76,183,76,22,"Medium / Medium",80,76,"NO","NO",22.6940189315895
"Jonathan Calleri",NA,"Sub",76,175,70,23,"High / Medium",74,69,"NO","NO",22.8571428571429
"Gustavo Gómez",NA,"Sub",76,185,85,23,"Medium / High",56,34,"NO","NO",24.8356464572681
"Genki Haraguchi",NA,"RM",76,177,68,25,"Medium / High",77,67,"NO","NO",21.7051294327939
"Víctor García","Sub","RB",76,175,70,22,"High / Medium",75,45,"NO","YES",22.8571428571429
"Carlos Mané",NA,"RM",76,173,67,23,"Medium / Medium",74,74,"NO","NO",22.3863142771225
"Maximilian Philipp",NA,"RM",76,183,76,23,"Medium / Medium",77,75,"NO","NO",22.6940189315895
"Juan Pablo Añor",NA,"Sub",76,171,65,23,"Medium / Medium",78,77,"NO","NO",22.2290619335864
"Matteo Politano",NA,"LW",76,171,65,23,"High / Medium",80,68,"NO","NO",22.2290619335864
"Kenny Tete",NA,"Sub",76,180,77,21,"Medium / High",68,49,"NO","NO",23.7654320987654
"Capa",NA,"RB",76,173,70,24,"High / High",76,68,"NO","NO",23.3886865581877
"Armando Izzo",NA,"RCB",76,183,78,25,"Medium / Medium",65,33,"NO","NO",23.291229956105
"Fernando Monetti",NA,"Sub",76,184,78,28,"Medium / Medium",23,46,"NO","NO",23.038752362949
"Youssouf Sabaly",NA,"RB",76,174,64,24,"High / Medium",72,45,"NO","NO",21.1388558594266
"Deyverson",NA,"ST",76,187,78,25,"High / High",74,55,"NO","NO",22.3054705596385
"Gerardo Alcoba",NA,"RCB",76,183,80,32,"Low / Medium",58,35,"NO","NO",23.8884409806205
"Emiliano Rigoni",NA,"RM",76,178,74,24,"Medium / Low",74,80,"NO","NO",23.355636914531
"Édson Puch",NA,"LW",76,168,73,30,"High / Medium",77,70,"NO","NO",25.8645124716553
"Gastón Lezcano",NA,"Sub",76,168,65,30,"Medium / Medium",76,62,"NO","NO",23.0300453514739
"Silvio Romero",NA,"RS",76,175,86,28,"Medium / High",76,74,"NO","NO",28.0816326530612
"Carlos Izquierdoz",NA,"RCB",76,184,89,28,"Low / Medium",59,33,"NO","NO",26.2878071833648
"Sebastián Pérez",NA,"Sub",76,176,70,24,"Medium / Medium",79,73,"NO","NO",22.5981404958678
"Alexander Mejía",NA,"Sub",76,178,79,28,"Medium / High",69,68,"NO","NO",24.9337204898371
"Frank Fabra",NA,"LB",76,172,72,26,"High / Low",73,40,"NO","NO",24.3374797187669
"Éder Balanta",NA,"LCB",76,181,84,24,"High / Medium",70,43,"NO","NO",25.6402429718263
"Ricardo Horta",NA,"LM",76,173,61,22,"High / Medium",80,75,"NO","NO",20.3815697149921
"Diego Laxalt","Sub","LM",76,178,66,24,"High / High",78,68,"NO","YES",20.8307031940412
"Aderllan Santos",NA,"Sub",76,193,83,27,"Medium / Medium",54,34,"NO","NO",22.2824773819431
"Levin Öztunali",NA,"RM",76,184,80,21,"Medium / Medium",80,66,"NO","NO",23.6294896030246
"Niklas Stark",NA,"RDM",76,190,81,21,"Medium / Medium",71,67,"NO","NO",22.4376731301939
"Nicolás Castillo","Sub","ST",76,179,74,24,"Medium / Medium",75,58,"NO","YES",23.0954090072095
"Gabriel",NA,"Sub",76,178,68,20,"Medium / Medium",80,69,"NO","NO",21.4619366241636
"Óscar Duarte",NA,"Sub",76,186,81,27,"Medium / Medium",59,39,"NO","NO",23.4131113423517
"Marcos Lopes",NA,"RM",76,174,68,21,"Medium / Medium",78,76,"NO","NO",22.4600343506408
"Santi Mina",NA,"Sub",76,177,71,21,"Medium / Medium",77,57,"NO","NO",22.662708672476
"Leander Dendoncker",NA,"RCM",77,188,83,21,"Medium / High",73,72,"NO","NO",23.4834766862834
"Medrán",NA,"Sub",76,176,68,23,"Medium / Medium",77,77,"NO","NO",21.952479338843
"José Sá",NA,"Sub",76,192,85,24,"Medium / Medium",20,51,"NO","NO",23.0577256944444
"Yannick Gerhardt",NA,"LB",76,184,81,23,"Medium / Medium",78,77,"NO","NO",23.9248582230624
"Iuri Medeiros",NA,"RW",76,174,66,22,"High / Medium",78,69,"NO","NO",21.7994451050337
"Dominik Kohr",NA,"RDM",76,183,75,23,"Medium / Medium",76,69,"NO","NO",22.3954134193317
"Lazar Marković",NA,"RM",76,175,66,23,"Medium / Medium",82,73,"NO","NO",21.5510204081633
"Vincenzo Grifo",NA,"LM",76,180,76,23,"Medium / Medium",82,70,"NO","NO",23.4567901234568
"Robert Berić","ST","ST",76,188,83,25,"High / Medium",74,75,"NO","YES",23.4834766862834
"Jonathan Gómez",NA,"CAM",76,171,71,27,"Medium / Medium",74,79,"NO","NO",24.2809753428405
"Gianluca Lapadula",NA,"Sub",76,178,69,27,"High / Medium",76,61,"NO","NO",21.7775533392248
"Manquillo",NA,"Sub",76,180,72,22,"High / Medium",73,39,"NO","NO",22.2222222222222
"Chancel Mbemba",NA,"Sub",76,182,82,22,"High / Medium",69,43,"NO","NO",24.7554643159039
"Ricardo Ferreira",NA,"RCB",76,190,76,24,"Medium / Medium",64,33,"NO","NO",21.0526315789474
"Björn Engels",NA,"RCB",76,194,83,22,"Medium / Medium",65,57,"NO","NO",22.0533531724944
"Mauro Dos Santos",NA,"Sub",76,180,76,27,"Medium / Medium",66,36,"NO","NO",23.4567901234568
"Emerson",NA,"LM",76,176,63,22,"High / Medium",78,41,"NO","NO",20.338326446281
"Marc Stendera",NA,"Sub",76,173,73,21,"Medium / High",78,77,"NO","NO",24.3910588392529
"Jonas Hofmann",NA,"Sub",76,174,70,24,"Medium / Low",76,74,"NO","NO",23.1206235962479
"Ahmed Hassan","Sub","Sub",76,191,85,24,"Medium / Low",73,59,"NO","YES",23.2997998958362
"Fabian Schär","LCB","Sub",76,186,84,25,"High / Medium",69,70,"NO","YES",24.2802636142907
"Thomas Partey",NA,"Sub",76,185,73,23,"High / High",73,69,"NO","NO",21.3294375456538
"Matías Britos",NA,"Sub",76,169,63,28,"High / Medium",74,70,"NO","NO",22.0580511886839
"Guilherme",NA,"Sub",76,178,78,25,"High / Medium",76,74,"NO","NO",24.6181037747759
"Omar Mascarell",NA,"RCM",76,181,74,24,"Medium / Medium",80,70,"NO","NO",22.5878330942279
"Christopher Jullien",NA,"LCB",76,196,88,24,"Medium / Medium",70,26,"NO","NO",22.9071220324865
"Martín Mantovani",NA,"RCB",76,185,80,32,"High / Medium",68,33,"NO","NO",23.3747260774288
"Alfred Duncan",NA,"RCM",76,178,78,24,"Medium / High",77,67,"NO","NO",24.6181037747759
"Marten de Roon",NA,"LCM",76,185,76,26,"Medium / Medium",74,72,"NO","NO",22.2059897735573
"Adnan Januzaj",NA,"RM",76,182,75,22,"Medium / Low",81,76,"NO","NO",22.6421929718633
"Romain Saïss",NA,"CDM",76,190,76,27,"Medium / Medium",75,69,"NO","NO",21.0526315789474
"Abdoulaye Doucouré",NA,"Sub",76,183,75,24,"Medium / Medium",78,75,"NO","NO",22.3954134193317
"Matheus",NA,"Sub",76,187,76,24,"Medium / Medium",22,50,"NO","NO",21.7335354170837
"Bertrand Traoré",NA,"RW",76,181,73,21,"Medium / Medium",83,74,"NO","NO",22.2825921064681
"Pedro Henrique",NA,"LM",76,179,71,26,"High / Medium",75,70,"NO","NO",22.1591086420524
"Roger",NA,"ST",76,179,74,26,"High / Medium",76,64,"NO","NO",23.0954090072095
"Yassine Benzia",NA,"CAM",76,179,71,22,"High / Medium",77,78,"NO","NO",22.1591086420524
"João Pereira",NA,"RB",76,172,66,33,"High / Medium",75,68,"NO","NO",22.3093564088697
"Jordan Ferri",NA,"Sub",76,172,70,25,"High / High",79,75,"NO","NO",23.6614386154678
"Mattia De Sciglio","LM","LB",76,183,74,24,"High / Medium",75,60,"NO","YES",22.096807907074
"Amin Younes",NA,"LW",76,168,70,23,"High / Medium",83,78,"NO","NO",24.8015873015873
"Jairo",NA,"Sub",76,172,69,23,"Medium / Medium",75,71,"NO","NO",23.3234180638183
"Stefano Denswil",NA,"LCB",76,185,82,23,"Medium / Medium",68,61,"NO","NO",23.9590942293645
"Lucas Ocampos",NA,"Sub",76,187,84,22,"Medium / Low",79,73,"NO","NO",24.021275987303
"James Ward-Prowse",NA,"RCM",76,173,66,22,"Medium / Medium",78,82,"NO","NO",22.0521901834341
"Alberto Moreno",NA,"Sub",76,171,65,24,"High / Low",81,58,"NO","NO",22.2290619335864
"Okay Yokuşlu","Sub","RDM",75,191,86,23,"High / Medium",75,71,"NO","YES",23.5739151887284
"Fayçal Fajr",NA,"LM",76,178,72,28,"Medium / Medium",80,79,"NO","NO",22.7244034844085
"Jordan Pickford",NA,"GK",76,185,77,23,"Medium / Medium",21,66,"YES","NO",22.4981738495252
"Marcel Sabitzer","RF","RS",76,177,74,23,"High / Medium",76,71,"NO","YES",23.6202879121581
"Emiliano Sala",NA,"LS",76,187,75,26,"High / High",77,56,"NO","NO",21.4475678458063
"Mauricio Pereyra",NA,"RCM",76,170,63,27,"Medium / Medium",78,77,"NO","NO",21.7993079584775
"Ricardo Álvarez",NA,"Sub",76,188,84,28,"High / Medium",81,73,"NO","NO",23.766410140335
"Christophe Kerbrat",NA,"RCB",76,183,74,30,"Low / Medium",67,49,"NO","NO",22.096807907074
"Julian Korb",NA,"Sub",76,177,70,25,"High / Medium",76,59,"NO","NO",22.343515592582
"Saido Berahino",NA,"Sub",76,180,83,23,"Medium / Medium",77,54,"NO","NO",25.6172839506173
"Santiago Arias","RB","RB",76,176,68,25,"High / Medium",70,52,"NO","YES",21.952479338843
"Kerim Frei",NA,"Sub",76,171,70,23,"High / Medium",80,67,"NO","NO",23.9389897746315
"Baptiste Reynet",NA,"GK",76,185,85,26,"Medium / Medium",21,16,"YES","NO",24.8356464572681
"Charly Musonda",NA,"Res",76,173,66,20,"High / Medium",80,67,"NO","NO",22.0521901834341
"Santiago Vergini",NA,"RCB",75,191,83,28,"Medium / High",70,59,"NO","NO",22.7515693100518
"Anthony Knockaert",NA,"RM",76,172,69,25,"High / High",77,72,"NO","NO",23.3234180638183
"Felipe Gutiérrez","Sub","LM",76,170,64,26,"Medium / Medium",80,74,"NO","YES",22.1453287197232
"Mohamed Elyounoussi","RM","LM",76,178,70,22,"High / Medium",77,69,"NO","YES",22.0931700542861
"Robin Knoche",NA,"Sub",76,190,77,24,"Medium / Medium",58,39,"NO","NO",21.3296398891967
"Fabián Castillo",NA,"LM",76,173,68,24,"High / Low",79,67,"NO","NO",22.7204383708109
"Aleix Vidal",NA,"Sub",76,178,69,27,"High / Medium",82,70,"NO","NO",21.7775533392248
"Javi Espinosa",NA,"CAM",76,174,70,24,"Medium / Medium",79,79,"NO","NO",23.1206235962479
"Serantes",NA,"Res",76,183,76,27,"Medium / Medium",25,33,"NO","NO",22.6940189315895
"Timmy Chandler","Sub","RWB",76,186,81,27,"High / Medium",72,55,"NO","YES",23.4131113423517
"Jeffrey Gouweleeuw",NA,"RCB",76,187,75,25,"High / Medium",64,71,"NO","NO",21.4475678458063
"Cristiano Piccini",NA,"RWB",76,183,77,24,"High / Medium",74,55,"NO","NO",22.9926244438472
"Martin Hinteregger","LCB","LCB",76,185,86,24,"High / Medium",62,62,"NO","YES",25.1278305332359
"Robbie Brady","LB","Sub",76,175,69,25,"High / Medium",75,74,"NO","YES",22.530612244898
